Cost,Het,R,WW,RW,RR
0.224,0,6.46428555880219e-08,0.999999915357146,3.99999969960825e-08,4.46428570899807e-08
0.225,0,6.44444428507164e-08,0.999999915555559,3.99999970542976e-08,4.44444443235676e-08
0.226,0,6.42477856551262e-08,0.999999915752216,3.99999967149283e-08,4.42477872976621e-08
0.227,0,6.40528616104047e-08,0.99999991594714,3.99999968708394e-08,4.4052863174985e-08
0.228,0,6.38596475481024e-08,0.999999916140354,3.99999970282738e-08,4.38596490339656e-08
0.229,0,6.36681197458652e-08,0.999999916331882,3.99999964384864e-08,4.3668121526622e-08
0.23,0,6.34782592048655e-08,0.999999916521742,3.99999968443579e-08,4.34782607826865e-08
0.231,0,6.3290041655175e-08,0.99999991670996,3.99999968521246e-08,4.32900432291127e-08
0.232,0,6.3103446854246e-08,0.999999916896555,3.99999972073751e-08,4.31034482505584e-08
0.233,0,6.29184528575879e-08,0.999999917081549,3.99999966194355e-08,4.29184545478702e-08
0.234,0,6.27350412634842e-08,0.99999991726496,3.99999972226251e-08,4.27350426521717e-08
0.235,0,6.25531901659814e-08,0.999999917446811,3.99999971802104e-08,4.25531915758762e-08
0.236,0,6.23728800300215e-08,0.999999917627121,3.99999971870649e-08,4.2372881436489e-08
0.237,0,6.21940914814874e-08,0.99999991780591,3.99999970951121e-08,4.21940929339314e-08
0.238,0,6.20168058929193e-08,0.999999917983195,3.99999974998543e-08,4.20168071429922e-08
0.239,0,6.18410014439935e-08,0.999999918159,3.99999962635732e-08,4.18410033122069e-08
0.24,0,6.16666645965004e-08,0.999999918333337,3.9999996719011e-08,4.16666662369949e-08
0.241,0,6.14937742219737e-08,0.999999918506227,3.99999968254796e-08,4.14937758092339e-08
0.242,0,6.13223117776552e-08,0.99999991867769,3.99999964331309e-08,4.13223135610897e-08
0.243,0,6.11522616203947e-08,0.99999991884774,3.99999969374801e-08,4.11522631516547e-08
0.244,0,6.09836048443787e-08,0.999999919016397,3.99999969949555e-08,4.09836063469009e-08
0.245,0,6.08163256363002e-08,0.999999919183676,3.99999976478515e-08,4.08163268123745e-08
0.246,0,6.06504059071575e-08,0.999999919349595,3.9999997803362e-08,4.06504070054765e-08
0.247,0,6.04858299712364e-08,0.999999919514171,3.99999979097324e-08,4.04858310163702e-08
0.248,0,6.03225790743838e-08,0.999999919677422,3.99999969711369e-08,4.03225805888154e-08
0.249,0,6.01606408884214e-08,0.999999919839361,3.9999997126588e-08,4.01606423251275e-08
0.25,0,5.99999982052117e-08,0.999999920000003,3.99999968346572e-08,3.99999997878831e-08
0.251,0,5.98406361691688e-08,0.999999920159365,3.9999997238494e-08,3.98406375499218e-08
0.252,0,5.96825379813901e-08,0.999999920317464,3.99999968979461e-08,3.96825395324171e-08
0.253,0,5.95256910496627e-08,0.99999992047431,3.99999977987153e-08,3.9525692150305e-08
0.254,0,5.93700767477932e-08,0.999999920629925,3.99999968095603e-08,3.9370078343013e-08
0.255,0,5.92156852698746e-08,0.999999920784316,3.99999975625302e-08,3.92156864886095e-08
0.256,0,5.90625006226407e-08,0.9999999209375,3.99999985130288e-08,3.90625013661263e-08
0.257,0,5.89105049757318e-08,0.999999921089496,3.99999974754348e-08,3.89105062380143e-08
0.258,0,5.87596890606747e-08,0.999999921240312,3.99999975312446e-08,3.87596902950524e-08
0.259,0,5.86100368372222e-08,0.999999921389965,3.99999968393308e-08,3.86100384175568e-08
0.26,0,5.846153640883e-08,0.999999921538465,3.99999968466102e-08,3.84615379855249e-08
0.261,0,5.83141740544154e-08,0.999999921685828,3.99999967039244e-08,3.83141757024532e-08
0.262,0,5.81679383015848e-08,0.999999921832063,3.9999997655161e-08,3.81679394740043e-08
0.263,0,5.80228126795233e-08,0.999999921977189,3.99999976093847e-08,3.80228138748309e-08
0.264,0,5.78787867410706e-08,0.999999922121215,3.99999972693579e-08,3.78787881063917e-08
0.265,0,5.77358477208672e-08,0.999999922264154,3.99999973232989e-08,3.77358490592178e-08
0.266,0,5.75939823835281e-08,0.999999922406019,3.99999964828152e-08,3.75939841421206e-08
0.267,0,5.74531816882176e-08,0.99999992254682,3.99999968863272e-08,3.7453183245054e-08
0.268,0,5.73134314057995e-08,0.99999992268657,3.99999971419919e-08,3.73134328348035e-08
0.269,0,5.7174719944669e-08,0.999999922825281,3.99999974444487e-08,3.71747212224446e-08
0.27,0,5.70370356163821e-08,0.999999922962966,3.99999974001064e-08,3.70370369163289e-08
0.271,0,5.6900368223138e-08,0.999999923099633,3.9999997803371e-08,3.69003693214525e-08
0.272,0,5.67647031809498e-08,0.999999923235299,3.99999964162402e-08,3.67647049728298e-08
0.273,0,5.66300346270683e-08,0.999999923369967,3.99999966715579e-08,3.66300362912894e-08
0.274,0,5.64963485959067e-08,0.999999923503653,3.99999970742026e-08,3.64963500588054e-08
0.275,0,5.63636348670068e-08,0.999999923636367,3.99999971782176e-08,3.6363636277898e-08
0.276,0,5.62318823017475e-08,0.999999923768119,3.99999969367793e-08,3.62318838333579e-08
0.277,0,5.61010812391447e-08,0.99999992389892,3.99999969415819e-08,3.61010827683538e-08
0.278,0,5.59712216023154e-08,0.99999992402878,3.99999972955129e-08,3.5971222954559e-08
0.279,0,5.58422929848006e-08,0.999999924157708,3.99999976978083e-08,3.58422941358964e-08
0.28,0,5.57142844617031e-08,0.999999924285717,3.99999975037892e-08,3.57142857098085e-08
0.281,0,5.55871872360428e-08,0.999999924412814,3.9999997308102e-08,3.55871885819919e-08
0.282,0,5.54609909151809e-08,0.999999924539011,3.99999967183848e-08,3.54609925559885e-08
0.283,0,5.53356876585946e-08,0.999999924664314,3.99999973695005e-08,3.53356889738443e-08
0.284,0,5.52112664127194e-08,0.999999924788735,3.99999976727718e-08,3.52112675763335e-08
0.285,0,5.50877173356285e-08,0.999999924912284,3.99999970808553e-08,3.50877187952009e-08
0.286,0,5.49650339162153e-08,0.999999925034967,3.99999976814606e-08,3.4965035075485e-08
0.287,0,5.48432038612482e-08,0.999999925156797,3.99999972395045e-08,3.48432052414959e-08
0.288,0,5.4722221582105e-08,0.999999925277779,3.99999979903718e-08,3.47222225869191e-08
0.289,0,5.46020740958777e-08,0.999999925397927,3.9999996901374e-08,3.46020756451907e-08
0.29,0,5.44827571011422e-08,0.999999925517244,3.99999973532205e-08,3.4482758424532e-08
0.291,0,5.43642585723446e-08,0.999999925635743,3.99999964631959e-08,3.43642603407466e-08
0.292,0,5.42465734628672e-08,0.999999925753428,3.99999970637972e-08,3.42465749309686e-08
0.293,0,5.41296913289736e-08,0.99999992587031,3.99999973177402e-08,3.41296926701035e-08
0.294,0,5.4013603217844e-08,0.999999925986398,3.99999968752869e-08,3.40136047802005e-08
0.295,0,5.38983034907373e-08,0.999999926101698,3.99999971790605e-08,3.3898304901207e-08
0.296,0,5.37837810269923e-08,0.999999926216221,3.99999962859878e-08,3.37837828839984e-08
