Cost,Het,R,WW,RW,RR
0.125,0,1.0000001400456e-07,0.999999879999985,4.00000017877353e-08,8.00000131106923e-08
0.126,0,9.93650867681945e-08,0.999999880634914,3.9999999070277e-08,7.9365087233056e-08
0.127,0,9.87401595244797e-08,0.999999881259842,3.99999967518146e-08,7.87401611485724e-08
0.128,0,9.81249932263626e-08,0.99999988187501,3.99999934448737e-08,7.81249965039257e-08
0.129,0,9.7519378188495e-08,0.999999882480624,3.99999954489586e-08,7.75193804640157e-08
0.13,0,9.69230869879565e-08,0.999999883076913,4.00000002634253e-08,7.69230868562439e-08
0.131,0,9.63358623205719e-08,0.999999883664143,3.99999898970695e-08,7.63358673720371e-08
0.132,0,9.57575700914613e-08,0.999999884242433,3.99999936699725e-08,7.57575732564751e-08
0.133,0,9.5187973974895e-08,0.999999884812027,3.99999977492886e-08,7.51879751002507e-08
0.134,0,9.4626869793435e-08,0.999999885373131,3.99999979037579e-08,7.46268708415561e-08
0.135,0,9.40740845748832e-08,0.999999885925915,4.00000004453099e-08,7.40740843522283e-08
0.136,0,9.35294191419268e-08,0.999999886470581,3.99999992523716e-08,7.3529419515741e-08
0.137,0,9.2992717378332e-08,0.999999887007281,4.00000033520599e-08,7.29927157023021e-08
0.138,0,9.24637605599618e-08,0.999999887536243,3.99999929664256e-08,7.2463764076749e-08
0.139,0,9.19424468639174e-08,0.999999888057555,3.99999965084713e-08,7.19424486096817e-08
0.14,0,9.14285708310269e-08,0.999999888571431,3.9999995950551e-08,7.14285728557513e-08
0.141,0,9.09219786844204e-08,0.999999889078025,3.99999933630361e-08,7.09219820029023e-08
0.142,0,9.04225379401874e-08,0.999999889577463,3.99999971560343e-08,7.04225393621703e-08
0.143,0,8.99300625216514e-08,0.999999890069941,3.99999931092636e-08,6.99300659670196e-08
0.144,0,8.94444463680372e-08,0.999999890555555,3.99999968089332e-08,6.94444479635706e-08
0.145,0,8.89654971534159e-08,0.999999891034509,3.99999877095474e-08,6.89655032986422e-08
0.146,0,8.8493137089178e-08,0.999999891506868,3.99999901722724e-08,6.84931420030418e-08
0.147,0,8.80272203826365e-08,0.999999891972779,4.00000006999807e-08,6.80272200326462e-08
0.148,0,8.75675747385733e-08,0.999999892432425,3.99999993132028e-08,6.75675750819719e-08
0.149,0,8.71140877592639e-08,0.999999892885915,3.99999936710648e-08,6.71140909237315e-08
0.15,0,8.66666661787414e-08,0.999999893333336,3.99999961963808e-08,6.6666668080551e-08
0.151,0,8.62251592566885e-08,0.999999893774844,3.99999936536508e-08,6.62251624298631e-08
